requirement_id,nutrient_id,min_composition,max_composition,,
1,1,86,100,,
1,2,0,100,,
1,3,13,15,,
1,4,7,100,,
1,5,0,100,,
1,6,0,100,,
1,7,70,72,,
1,8,0.8,1,,
1,9,0.6,0.8,,
2,1,86,100,,
2,2,0,12,,
2,3,14,16,,
2,4,0,6,,
2,5,0,100,,
2,6,0,100,,
2,7,65,68,,
2,8,0.8,1,,
2,9,0.6,0.8,,
3,1,86,100,,
3,2,0,12,,
3,3,12,15,,
3,4,0,6,,
3,5,0,100,,
3,6,0,100,,
3,7,65,68,,
3,8,0.8,1,,
3,9,0.6,0.8,,
4,1,86,100,,
4,2,0,10,,
4,3,16,100,,
4,4,0,7,,
4,5,0,100,,
4,6,0,100,,
4,7,78,100,,
4,8,0.6,0.8,,
4,9,0.4,0.6,,
5,1,86,100,,
5,2,0,10,,
5,3,15,100,,
5,4,0,7,,
5,5,0,100,,
5,6,0,100,,
5,7,65,100,,
5,8,0.6,0.8,,
5,9,0.5,0.7,,
6,1,86,100,,
6,2,0,10,,
6,3,16,100,,
6,4,0,7,,
4,5,0,100,,
6,6,0,100,,
6,7,70,100,,
6,8,0.8,1,,
6,9,0.6,0.8,,
7,1,86,100,,
7,2,0,10,,
7,3,18,100,,
7,4,0,7,,
7,5,0,100,,
7,6,0,100,,
7,7,75,100,,
7,8,1,1.2,,
7,9,0.6,0.8,, 
8,1,86,100,,
8,2,0,10,,
8,3,14,100,,
8,4,0,7,,
8,5,0,100,,
8,6,0,100,,
8,7,62,100,,
8,8,0.6,0.8,,
8,9,0.5,0.7,,
9,1,86,100,,
9,2,0,10,,
9,3,12,100,,
9,4,0,6,,
9,5,0,100,,
9,6,0,100,,
9,7,65,100,,
9,8,0.5,0.7,,
9,9,0.3,0.5,,
10,1,86,100,,
10,2,0,10,,
10,3,18,100,,
10,4,0,7,,
10,5,0,100,,
10,6,0,100,,
10,7,75,100,,
10,8,1,1.2,,
10,9,0.6,0.8,,
